Sample	Species	Taxonomy_ID	Taxonomy_level	Kraken_initial	Added_reads	Species_read_count	Species_read_fraction
DRR121536_1_kneaddata_paired	Desulfobacterota_A	11509	P	34	0	34	0.00002
DRR121536_1_kneaddata_paired	Spirochaetota	32587	P	20	0	20	0.00001
DRR121536_1_kneaddata_paired	Deferribacterota	10822	P	14	0	14	0.00001
DRR121536_1_kneaddata_paired	Firmicutes_I	18140	P	12	0	12	0.00001
DRR121536_1_kneaddata_paired	Firmicutes_B	17289	P	10	0	10	0.00000
DRR121536_1_kneaddata_paired	Firmicutes_C	17613	P	1	0	1	0.00000
DRR121537_1_kneaddata_paired	Firmicutes	12188	P	2081992	7160	2089152	0.88902
DRR121537_1_kneaddata_paired	Bacteroidota	4587	P	102967	200	103167	0.04390
DRR121537_1_kneaddata_paired	Actinobacteriota	615	P	92646	378	93024	0.03959
DRR121537_1_kneaddata_paired	Firmicutes_A	14608	P	27361	88	27449	0.01168
DRR121537_1_kneaddata_paired	Verrucomicrobiota	33333	P	23843	89	23932	0.01018
DRR121537_1_kneaddata_paired	Proteobacteria	22518	P	12576	5	12581	0.00535
DRR121537_1_kneaddata_paired	Cyanobacteria	9876	P	449	2	451	0.00019
DRR121537_1_kneaddata_paired	Campylobacterota	8700	P	102	0	102	0.00004
DRR121537_1_kneaddata_paired	Desulfobacterota_A	11509	P	30	0	30	0.00001
DRR121537_1_kneaddata_paired	Deferribacterota	10822	P	15	0	15	0.00001
DRR121537_1_kneaddata_paired	Spirochaetota	32587	P	15	0	15	0.00001
DRR121537_1_kneaddata_paired	Firmicutes_I	18140	P	12	0	12	0.00001
DRR121537_1_kneaddata_paired	Firmicutes_B	17289	P	8	0	8	0.00000
DRR121537_1_kneaddata_paired	Firmicutes_C	17613	P	3	0	3	0.00000
DRR121537_1_kneaddata_paired	Thermotogota	33086	P	2	0	2	0.00000
DRR121538_1_kneaddata_paired	Firmicutes	12188	P	1766178	6160	1772338	0.89781
DRR121538_1_kneaddata_paired	Bacteroidota	4587	P	84543	168	84711	0.04291
DRR121538_1_kneaddata_paired	Actinobacteriota	615	P	63111	279	63390	0.03211
DRR121538_1_kneaddata_paired	Firmicutes_A	14608	P	23126	74	23200	0.01175
DRR121538_1_kneaddata_paired	Verrucomicrobiota	33333	P	19251	75	19326	0.00979
DRR121538_1_kneaddata_paired	Proteobacteria	22518	P	10584	5	10589	0.00536
DRR121538_1_kneaddata_paired	Cyanobacteria	9876	P	346	1	347	0.00018
DRR121538_1_kneaddata_paired	Campylobacterota	8700	P	96	0	96	0.00005
DRR121538_1_kneaddata_paired	Spirochaetota	32587	P	24	0	24	0.00001
DRR121538_1_kneaddata_paired	Desulfobacterota_A	11509	P	20	0	20	0.00001
DRR121538_1_kneaddata_paired	Firmicutes_B	17289	P	8	0	8	0.00000
DRR121538_1_kneaddata_paired	Firmicutes_I	18140	P	8	0	8	0.00000
DRR121538_1_kneaddata_paired	Deferribacterota	10822	P	7	0	7	0.00000
DRR121538_1_kneaddata_paired	Firmicutes_C	17613	P	5	0	5	0.00000
DRR121538_1_kneaddata_paired	Elusimicrobiota	11888	P	1	0	1	0.00000
DRR121538_1_kneaddata_paired	Thermotogota	33086	P	1	0	1	0.00000
DRR121539_1_kneaddata_paired	Firmicutes	12188	P	2030567	3426	2033993	0.88262
DRR121539_1_kneaddata_paired	Actinobacteriota	615	P	130909	470	131379	0.05701
DRR121539_1_kneaddata_paired	Bacteroidota	4587	P	81382	72	81454	0.03535
DRR121539_1_kneaddata_paired	Firmicutes_A	14608	P	32304	40	32344	0.01404
DRR121539_1_kneaddata_paired	Proteobacteria	22518	P	14853	2	14855	0.00645
